NAME,PATH,DESCRIPTION
gnutls-certtool,/usr/local/bin/gnutls-certtool,"gnutls-certtool(1), *[B-Font]certtool(1) - GnuTLS certificate tool"
gnutls-cli,/usr/local/bin/gnutls-cli,"gnutls-cli(1), *[B-Font]gnutls-cli(1) - GnuTLS client"
gnutls-cli-debug,/usr/local/bin/gnutls-cli-debug,"gnutls-cli-debug(1), *[B-Font]gnutls-cli-debug(1) - GnuTLS debug client"
gnutls-serv,/usr/local/bin/gnutls-serv,"gnutls-serv(1), *[B-Font]gnutls-serv(1) - GnuTLS server"
gpgrt-config,/usr/local/bin/gpgrt-config,gpgrt-config(1) - Script to get information about the installed version of libgpg-error
hfind,/usr/local/bin/hfind,hfind(1) - Lookup a hash value in a hash database
htop,/usr/local/bin/htop,htop(1) - interactive process viewer
hunspell,/usr/local/bin/hunspell,"hunspell(1) - spell checker, stemmer and morphological analyzer"
hunspell,/usr/local/bin/hunspell,"hunspell(3) - spell checking, stemming, morphological generation and analysis"
hunspell,/usr/local/bin/hunspell,hunspell(5) - format of Hunspell dictionaries and affix files
hunzip,/usr/local/bin/hunzip,hunzip(1) - compress and encrypt dictionary files
hunzip,/usr/local/bin/hunzip,hunzip(1) - decompress and decrypt hzip files to the standard output
icat,/usr/local/bin/icat,icat(1) - Output the contents of a file based on its inode number
ifdata,/usr/local/bin/ifdata,ifdata(1) - get network interface info without parsing ifconfig output
ifind,/usr/local/bin/ifind,ifind(1) - Find the meta-data structure that has allocated a given disk unit or file name
ifne,/usr/local/bin/ifne,ifne(1) - Run command if the standard input is not empty
ils,/usr/local/bin/ils,ils(1) - List inode information
img2webp,/usr/local/bin/img2webp,img2webp(1) - create animated WebP file from a sequence of input images
img_cat,/usr/local/bin/img_cat,img_cat(1) - Output contents of an image file
img_stat,/usr/local/bin/img_stat,img_stat(1) - Display details of an image file
initdb,/usr/local/bin/initdb,initdb(1) - create a new PostgreSQL database cluster
isql,/usr/local/bin/isql,"isql(1), iusql(1) - unixODBC command-line interactive SQL tool"
istat,/usr/local/bin/istat,istat(1) - Display details of a meta-data structure (i.e. inode)
isutf8,/usr/local/bin/isutf8,isutf8(1) - check whether files are valid UTF-8
jcat,/usr/local/bin/jcat,jcat(1) - Show the contents of a block in the file system journal
jls,/usr/local/bin/jls,jls(1) - List the contents of a file system journal
jpegtran,/usr/local/bin/jpegtran,jpegtran(1) - lossless transformation of JPEG files
jpgicc,/usr/local/bin/jpgicc,jpgicc(1) - little cms ICC profile applier for JPEG
jq,/usr/local/bin/jq,jq(1) - Command-line JSON processor
jtool,/usr/local/bin/jtool,"jtool(1) - object file display, manipulation, and reverse-engineering tool"
lame,/usr/local/bin/lame,lame(1) - create mp3 audio files
lckdo,/usr/local/bin/lckdo,lckdo(1) - run a program with a lock held
lpass,/usr/local/bin/lpass,lpass(1) - command line interface for LastPass
lz4,/usr/local/bin/lz4,"lz4(1) - lz4, unlz4, lz4cat - Compress or decompress .lz4 files"
lzmainfo,/usr/local/bin/lzmainfo,lzmainfo(1) - show information stored in the .lzma file header
mactime,/usr/local/bin/mactime,mactime(1) - Create an ASCII time line of file activity
metaflac,/usr/local/bin/metaflac,"metaflac(1) - program to list, add, remove, or edit metadata in one or more FLAC files"
mispipe,/usr/local/bin/mispipe,"mispipe(1) - pipe two commands, returning the exit status of the first"
mmcat,/usr/local/bin/mmcat,mmcat(1) - Output the contents of a partition to stdout
mmls,/usr/local/bin/mmls,mmls(1) - Display the partition layout of a volume system (partition tables)
mmstat,/usr/local/bin/mmstat,mmstat(1) - Display details about the volume system (partition tables)
ncat,/usr/local/bin/ncat,ncat(1) - Concatenate and redirect sockets
ndiff,/usr/local/bin/ndiff,ndiff(1) - Utility to compare the results of Nmap scans
nmap,/usr/local/bin/nmap,nmap(1) - Network exploration tool and security / port scanner
node,/usr/local/bin/node,node(1) - server-side JavaScript runtime
nping,/usr/local/bin/nping,nping(1) - Network packet generation tool / ping utility
npm,/usr/local/bin/npm,npm(1) - a JavaScript package manager Build Status https://img.shields.io/travis/npm/cli/latest.svg https://travis-ci.org/npm/cli
npm,/usr/local/bin/npm,npm(1) - javascript package manager
npx,/usr/local/bin/npx,npx(1) - execute npm package binaries
ocsptool,/usr/local/bin/ocsptool,"ocsptool(1), *[B-Font]ocsptool(1) - GnuTLS OCSP tool"
odbc_config,/usr/local/bin/odbc_config,odbc_config(1) - get compile options for compiling unixODBC client
odbcinst,/usr/local/bin/odbcinst,odbcinst(1) - An unixODBC tool for manipulating configuration files
oid2name,/usr/local/bin/oid2name,oid2name(1) - resolve OIDs and file nodes in a PostgreSQL data directory
opj_compress,/usr/local/bin/opj_compress,"opj_compress(1) - This program reads in an image of a certain type and converts it to a jpeg2000 file. It is part of the OpenJPEG library. Valid input image extensions are .bmp, .pgm, .pgx, .png, .pnm, .ppm, .raw, .tga, .tif . For PNG resp. TIF it needs libpng resp. libtiff . Valid output image extensions are .j2k, .jp2"
opj_decompress,/usr/local/bin/opj_decompress,"opj_decompress(1) - This program reads in a jpeg2000 image and converts it to another image type. It is part of the OpenJPEG library. Valid input image extensions are .j2k, .jp2, .j2c, .jpt Valid output image extensions are .bmp, .pgm, .pgx, .png, .pnm, .ppm, .raw, .tga, .tif . For PNG resp. TIF it needs libpng resp. libtiff"
opj_dump,/usr/local/bin/opj_dump,"opj_dump(1) - This program reads in a jpeg2000 image and dumps the contents to stdout. It is part of the OpenJPEG library. Valid input image extensions are .j2k, .jp2, .jpt"
p11tool,/usr/local/bin/p11tool,"p11tool(1), *[B-Font]p11tool(1) - GnuTLS PKCS #11 tool"
pal2rgb,/usr/local/bin/pal2rgb,pal2rgb(1) - convert a palette color TIFF image to a full color image
parallel,/usr/local/bin/parallel,parallel(1) - run programs in parallel
pcre-config,/usr/local/bin/pcre-config,pcre-config(1) - program to return PCRE configuration
pcregrep,/usr/local/bin/pcregrep,pcregrep(1) - a grep with Perl-compatible regular expressions
pcretest,/usr/local/bin/pcretest,pcretest(1) - a program for testing Perl-compatible regular expressions
pee,/usr/local/bin/pee,pee(1) - tee standard input to pipes
pg_archivecleanup,/usr/local/bin/pg_archivecleanup,pg_archivecleanup(1) - clean up PostgreSQL WAL archive files
pg_basebackup,/usr/local/bin/pg_basebackup,pg_basebackup(1) - take a base backup of a PostgreSQL cluster
pg_config,/usr/local/bin/pg_config,pg_config(1) - retrieve information about the installed version of PostgreSQL
pg_controldata,/usr/local/bin/pg_controldata,pg_controldata(1) - display control information of a PostgreSQL database cluster
pg_ctl,/usr/local/bin/pg_ctl,"pg_ctl(1) - initialize, start, stop, or control a PostgreSQL server"
pg_dump,/usr/local/bin/pg_dump,pg_dump(1) - extract a PostgreSQL database into a script file or other archive file
pg_dumpall,/usr/local/bin/pg_dumpall,pg_dumpall(1) - extract a PostgreSQL database cluster into a script file
pg_isready,/usr/local/bin/pg_isready,pg_isready(1) - check the connection status of a PostgreSQL server
pg_receivewal,/usr/local/bin/pg_receivewal,pg_receivewal(1) - stream write-ahead logs from a PostgreSQL server
pg_recvlogical,/usr/local/bin/pg_recvlogical,pg_recvlogical(1) - control PostgreSQL logical decoding streams
pg_resetwal,/usr/local/bin/pg_resetwal,pg_resetwal(1) - reset the write-ahead log and other control information of a PostgreSQL database cluster
pg_restore,/usr/local/bin/pg_restore,pg_restore(1) - restore a PostgreSQL database from an archive file created by pg_dump
pg_rewind,/usr/local/bin/pg_rewind,pg_rewind(1) - synchronize a PostgreSQL data directory with another data directory that was forked from it
pg_standby,/usr/local/bin/pg_standby,pg_standby(1) - supports the creation of a PostgreSQL warm standby server
pg_test_fsync,/usr/local/bin/pg_test_fsync,pg_test_fsync(1) - determine fastest wal_sync_method for PostgreSQL
pg_test_timing,/usr/local/bin/pg_test_timing,pg_test_timing(1) - measure timing overhead
pg_upgrade,/usr/local/bin/pg_upgrade,pg_upgrade(1) - upgrade a PostgreSQL server instance
pg_verify_checksums,/usr/local/bin/pg_verify_checksums,pg_verify_checksums(1) - verify data checksums in a PostgreSQL database cluster
pg_waldump,/usr/local/bin/pg_waldump,pg_waldump(1) - display a human-readable rendering of the write-ahead log of a PostgreSQL database cluster
pgbench,/usr/local/bin/pgbench,pgbench(1) - run a benchmark test on PostgreSQL
postgres,/usr/local/bin/postgres,postgres(1) - PostgreSQL database server
postmaster,/usr/local/bin/postmaster,postmaster(1) - PostgreSQL database server
ppm2tiff,/usr/local/bin/ppm2tiff,"ppm2tiff(1) - create a TIFF file from PPM, PGM and PBM image files"
psktool,/usr/local/bin/psktool,"psktool(1), *[B-Font]psktool(1) - GnuTLS PSK tool"
psql,/usr/local/bin/psql,psql(1) - PostgreSQL interactive terminal
python,/usr/local/bin/python,"python(1) - an interpreted, interactive, object-oriented programming language"
raw2tiff,/usr/local/bin/raw2tiff,raw2tiff(1) - create a TIFF file from a raw data
rdjpgcom,/usr/local/bin/rdjpgcom,rdjpgcom(1) - display text comments from a JPEG file
reindexdb,/usr/local/bin/reindexdb,reindexdb(1) - reindex a PostgreSQL database
rtmpdump,/usr/local/bin/rtmpdump,rtmpdump(1) - RTMP streaming media client
rtmpgw,/usr/local/bin/rtmpgw,rtmpgw(8) - RTMP streaming media gateway
shellcheck,/usr/local/bin/shellcheck,shellcheck(1) - Shell script analysis tool
sigfind,/usr/local/bin/sigfind,sigfind(1) - Find a binary signature in a file
sndfile-cmp,/usr/local/bin/sndfile-cmp,sndfile-cmp(1) - compare two audio files
